,x,y,sdi_cat,Country Code,pred,ineff,year
406,3.9889840465642745,-5.032321362289841,low,SLE,-3.5871323042789833,1.4416642730219809,2010
407,3.9889840465642745,-4.171603629931552,medium,MRT,-3.5871323042789833,0.5827026204146208,2010
408,4.007333185232471,-4.662876360335413,low,GNB,-3.577494413318415,1.0809331949818797,2010
409,4.02535169073515,-4.290643040731313,medium,RWA,-3.5680301879843603,0.7199853365032867,2010
410,4.060443010546419,-4.260624061073683,medium,SEN,-3.549598463180769,0.7097576164486653,2010
411,4.143134726391533,-4.190012965735439,medium,SDN,-3.506164624817287,0.6815343769333254,2010
412,4.219507705176107,-4.959264565131779,high,NGA,-3.46604971272812,1.4910869376424165,2010
413,4.343805421853684,-4.337306740704491,high,GHA,-3.4007623466598025,0.9344639911572545,2010
414,4.343805421853684,-4.234099040801289,medium,DJI,-3.4007623466598025,0.8268775588789681,2010
415,4.382026634673881,-4.053349392985748,high,KEN,-3.380686662047742,0.6698687332788861,2010
416,4.51085950651685,-4.582015769517262,medium,AGO,-3.3130172368106328,1.2657994568599422,2010
417,4.61512051684126,-4.313184961577306,medium,COM,-3.2582541920053414,1.0486335020314197,2010
418,4.836281906951478,-4.446786881228555,high,LSO,-3.1420893395086806,1.298582543223955,2010
419,5.043425116919247,-4.288468817335207,medium,ZWE,-3.0332878010687763,1.2519428005047877,2010
420,5.111987788356544,-3.4127686752727757,high,MAR,-2.9972755368618547,0.4122344425061309,2010
421,5.220355825078324,-3.316985609392281,high,DZA,-2.940355867952382,0.37579135228405025,2010
422,5.389071729816501,-2.9359653900248737,high,TUN,-2.85173947011407,0.0836328061179476,2010
423,5.6240175061873385,-3.9409404564168686,high,GAB,-2.72833817290948,1.2052342062635957,2010
424,5.7430031878094825,-2.6605938869591785,high,MUS,-2.6658439006719807,0.0,2010
425,5.7430031878094825,-4.124193516540217,high,GNQ,-2.6658439006719807,1.4469972046751298,2010
426,6.030685260261263,-3.9674038225009243,high,BWA,-2.514749317976534,1.4430177974519094,2010
427,6.180016653652572,-3.9263910686665353,high,NAM,-2.4363205571480933,1.4822710050617465,2010
428,6.293419278846481,-3.9747863831805703,high,ZAF,-2.3767626841560583,1.5911800263959115,2010
429,6.333279628139691,-2.6156206084201825,high,SYC,-2.355828691077876,0.2588521707395287,2010
430,1.6094379124341003,-4.798530548688017,low,SOM,-4.779903115894817,0.01850478690936628,2011
431,2.772588722239781,-4.218784193504648,medium,ERI,-4.198927762839781,0.019694161171265104,2011
432,3.044522437723423,-4.346186429160558,medium,MDG,-4.0631015065900495,0.2816263665704077,2011
433,3.258096538021482,-4.420159953944054,low,ETH,-3.956424918116093,0.461823569242601,2011
434,3.258096538021482,-5.034857083671742,low,CAF,-3.956424918116093,1.0728084624342638,2011
435,3.295836866004329,-4.952935995180815,low,NER,-3.9375742755182244,1.0100220709378214,2011
436,3.295836866004329,-4.913484908818626,low,BFA,-3.9375742755182244,0.9713721252738521,2011
437,3.295836866004329,-4.630419599633542,low,MOZ,-3.9375742755182244,0.6897962609445797,2011
438,3.367295829986474,-4.746706830907555,medium,SSD,-3.9018817574578812,0.8401035551499826,2011
439,3.4339872044851463,-4.851695239055054,low,GIN,-3.868570569632192,0.9797236319861067,2011
440,3.5263605246161616,-4.541850037000316,low,BDI,-3.8224316969015004,0.7160365481828729,2011
441,3.5553480614894135,-4.705726679789117,low,BEN,-3.8079529251776663,0.8955120251027234,2011
442,3.58351893845611,-4.48427141897799,medium,MWI,-3.7938820612018795,0.6881894914426603,2011
443,3.58351893845611,-4.993426284863046,low,MLI,-3.7938820612018795,1.1962202613711062,2011
444,3.58351893845611,-4.96533336993742,low,TCD,-3.7938820612018795,1.1666371399193693,2011
445,3.6109179126442243,-4.449719826943576,low,LBR,-3.7801967495420734,0.666902830705932,2011
446,3.713572066704308,-4.492272492590731,medium,TGO,-3.728922785252785,0.7598481412614873,2011
447,3.7612001156935624,-4.418135684697886,medium,UGA,-3.705133404597557,0.7110941668424899,2011
448,3.8501476017100584,-4.609707835268019,low,GNB,-3.660705687320825,0.9444509144741917,2011
449,3.970291913552122,-4.135000943029162,medium,MRT,-3.600695704620669,0.5323026513327016,2011
450,3.9889840465642745,-4.331040372094609,medium,ZMB,-3.591359311560127,0.736449871847217,2011
451,3.9889840465642745,-4.591821770981013,medium,CMR,-3.591359311560127,0.9956355801922068,2011
452,4.060443010546419,-4.991175609988338,low,SLE,-3.555666811837707,1.4316388823698565,2011
453,4.07753744390572,-4.228484455089459,medium,RWA,-3.547128442358057,0.6782983084924251,2011
454,4.127134385045092,-4.218281556704392,medium,SEN,-3.522355641255345,0.694394253917309,2011
455,4.189654742026425,-4.149382501666686,medium,SDN,-3.4911278222557627,0.6555246898343524,2011
456,4.23410650459726,-4.929824233537451,high,NGA,-3.4689249493879064,1.4581916474791032,2011
457,4.3694478524670215,-4.1952717702778966,medium,DJI,-3.4013243334910443,0.7874871132055602,2011
458,4.394449154672439,-4.2919617094383895,high,GHA,-3.3888366248468507,0.9005728705719752,2011
459,4.406719247264253,-4.018084239525454,high,KEN,-3.3827079305178884,0.6322038009583416,2011
460,4.465908118654584,-4.5149321142682055,medium,AGO,-3.3531441364937606,1.1582775490732504,2011
461,4.553876891600541,-4.279282678946614,medium,COM,-3.3092052934532594,0.963820868465638,2011
462,4.976733742420574,-4.4407249199419185,high,LSO,-3.097995848241445,1.3352039253570498,2011
463,5.043425116919247,-4.2373603500234065,medium,ZWE,-3.0646847261370547,1.1690929079226382,2011
464,5.170483995038151,-3.350933627291796,high,MAR,-3.00122120078951,0.346460912439245,2011
465,5.332718793265369,-3.2835259147817446,high,DZA,-2.920188130060485,0.3624562187200299,2011
466,5.4680601411351315,-2.901680626465031,high,TUN,-2.8525880000384665,0.04871717359149318,2011
467,5.605802066295998,-3.8856673051738118,high,GAB,-2.783789063663601,1.0941166500186206,2011
468,5.676753802268282,-4.147068929636007,high,GNQ,-2.748350403134,1.386597479302812,2011
469,5.793013608384144,-2.689434668929723,high,MUS,-2.690281644890519,0.0,2011
470,6.0330862217988015,-3.9345752607946465,high,BWA,-2.5703724082752446,1.3542048537693654,2011
471,6.2166061010848646,-3.882600971233426,high,NAM,-2.478710466265116,1.395279472447619,2011
472,6.329720905522696,-3.923366859925572,high,ZAF,-2.422213891961828,1.4938208252375689,2011
473,6.416732282512326,-2.6119994738269483,high,SYC,-2.378755235292309,0.23222013147639906,2011
474,1.9459101490553132,-4.772375220027058,low,SOM,-4.721910987351645,0.050058185410225456,2012
475,2.8903717578961645,-4.1796673824574,medium,ERI,-4.227117865246031,0.0,2012
476,3.044522437723423,-4.311137081694666,medium,MDG,-4.146539069694776,0.16340593043808108,2012
